"gene_id","gene_label","gene_group","stimulus","time","comparison","baseMean","log2FC","fold_change","lfcSE","stat","pvalue","padj","ci95_low_log2FC","ci95_high_log2FC","significant_FDR05"
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",10,"Pep1_10_vs_mock_10",2353.56470184709,0.0429864739880891,1.03024429450188,0.195974157213618,0.21934766603554,0.826379233720308,1,-0.341122874150601,0.42709582212678,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",30,"Pep1_30_vs_mock_30",2353.56470184709,0.934924348809187,1.9117903832236,0.196002585434626,4.76995926730273,1.84263175211007e-06,2.23861615950871e-05,0.550759281357321,1.31908941626105,TRUE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",90,"Pep1_90_vs_mock_90",2353.56470184709,0.429074174980226,1.34636928996819,0.196791077110136,2.18035381116437,0.0292312451214414,0.0665730579643487,0.0433636638443605,0.814784686116092,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","Pep1",180,"Pep1_180_vs_mock_180",2353.56470184709,-0.0474124576163194,0.967670336361196,0.196663033016302,-0.241084747291521,0.809489434076848,0.874262678451319,-0.432872002328272,0.338047087095633,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",0,"chitooct_0_vs_mock_0",2353.56470184709,-0.0030980536462469,0.99785489687909,0.211527336741914,-0.0146461147479338,0.988314508941575,1,-0.417691633660398,0.411495526367905,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",5,"chitooct_5_vs_mock_5",2353.56470184709,0.123958583424644,1.08972082829583,0.195907903284276,0.632739064359092,0.526904055237329,1,-0.260020907012537,0.507938073861826,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",10,"chitooct_10_vs_mock_10",2353.56470184709,-0.0710202930367828,0.951964518012156,0.195974731885945,-0.362395153463539,0.717056760703306,1,-0.455130767533235,0.313090181459669,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",30,"chitooct_30_vs_mock_30",2353.56470184709,0.703088757975713,1.62798652460146,0.196085172160003,3.58562939885124,0.00033626621479487,0.00423687673635428,0.318761820542107,1.08741569540932,TRUE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",90,"chitooct_90_vs_mock_90",2353.56470184709,-0.275535670264692,0.826143515489395,0.197218310262782,-1.39710998384256,0.162380499986438,0.451924314220656,-0.662083558379745,0.111012217850361,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","chitooct",180,"chitooct_180_vs_mock_180",2353.56470184709,0.0183870748954615,1.01282651212371,0.196712037256086,0.0934720373594861,0.92552856337293,0.995759050042565,-0.367168518126466,0.403942667917389,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",0,"3.OH10_0_vs_mock_0",2353.56470184709,0.00261462575919866,1.0018139637185,0.195819526516282,0.0133522218428061,0.989346784885928,1,-0.381191646212715,0.386420897731112,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",5,"3.OH10_5_vs_mock_5",2353.56470184709,-0.0217049095089693,0.98506790920574,0.211669614787694,-0.102541451359183,0.918326912803847,1,-0.436577354492849,0.39316753547491,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",10,"3.OH10_10_vs_mock_10",2353.56470184709,0.156129361560956,1.11429356125638,0.195939812588047,0.796823062647356,0.425553798946385,0.999602297317036,-0.227912671111615,0.540171394233528,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",30,"3.OH10_30_vs_mock_30",2353.56470184709,0.120945267378095,1.08744713476111,0.196245928139161,0.616294404296282,0.537700231339209,0.939927882369613,-0.26369675177466,0.50558728653085,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",90,"3.OH10_90_vs_mock_90",2353.56470184709,-0.217037998078684,0.860329970717623,0.197088946297018,-1.10121852166992,0.27080156248041,0.64068265591729,-0.60333233282084,0.169256336663472,FALSE
"AT2G19800","AT2G19800","Myo-inositol oxygenase 2 (MIOX2)","3.OH10",180,"3.OH10_180_vs_mock_180",2353.56470184709,0.370638971315964,1.29292534198683,0.196384939293016,1.8873085311443,0.0591188396579447,0.332279866123817,-0.0142755096983466,0.755553452330274,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",0,"flg22_0_vs_mock_0",298.670853350766,-0.259028522152663,0.835650437907852,0.168285204825985,-1.53922338223679,0.123749771173397,1,-0.588867523611593,0.0708104793062665,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",5,"flg22_5_vs_mock_5",298.670853350766,-0.0676492219744168,0.95419152523542,0.154995507617152,-0.43645924333184,0.662503563624338,0.973186853645574,-0.371440416904035,0.236141972955202,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",10,"flg22_10_vs_mock_10",298.670853350766,0.0104399431142263,1.00726266327244,0.167265727828657,0.0624153151380822,0.950232099022339,1,-0.317400883429941,0.338280769658394,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",30,"flg22_30_vs_mock_30",298.670853350766,-0.0463107232191322,0.968409593685342,0.155373570212435,-0.298060494817836,0.765656992464384,0.926099354982197,-0.350842920835506,0.258221474397241,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",90,"flg22_90_vs_mock_90",298.670853350766,-0.253088616970694,0.839098094255916,0.159207079875367,-1.5896819234975,0.111906520290584,0.178787134930415,-0.565134493526413,0.0589572595850249,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","flg22",180,"flg22_180_vs_mock_180",298.670853350766,-0.282528533146581,0.822148818278295,0.158901270090406,-1.77801305795629,0.0754017102887976,0.118991410430034,-0.593975022523776,0.0289179562306139,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",0,"elf18_0_vs_mock_0",298.670853350766,-0.0958136375786903,0.935744366287986,0.155130851907709,-0.617631092722238,0.536818543918423,1,-0.399870107317801,0.20824283216042,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",5,"elf18_5_vs_mock_5",298.670853350766,-0.16364670046682,0.892765572794615,0.155259462637193,-1.05402078357843,0.291873401816325,1,-0.467955247235718,0.140661846302078,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",10,"elf18_10_vs_mock_10",298.670853350766,-0.0320016631346899,0.978062345939233,0.155575980607533,-0.205697968347823,0.837026845648993,0.995034569206645,-0.336930585125455,0.272927258856075,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",30,"elf18_30_vs_mock_30",298.670853350766,-0.0941192301985285,0.936844019064732,0.15545522222045,-0.605442704684819,0.544884883382777,0.806248076544254,-0.39881146575061,0.210573005353553,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",90,"elf18_90_vs_mock_90",298.670853350766,-0.143697481995969,0.905196253134835,0.170401664115376,-0.843286846651179,0.39906803733137,0.540135488924494,-0.477684743662106,0.190289779670168,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","elf18",180,"elf18_180_vs_mock_180",298.670853350766,-0.197120598620516,0.872289785757287,0.157153901885081,-1.25431565017495,0.209727297718598,0.341016769285052,-0.505142246315275,0.110901049074243,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",0,"nlp20_0_vs_mock_0",298.670853350766,-0.00299129270879225,0.997928741914284,0.154833964906262,-0.0193193574200803,0.984586341821906,1,-0.306465863925065,0.300483278507481,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",5,"nlp20_5_vs_mock_5",298.670853350766,-0.126627486948476,0.915970165219305,0.167913575242983,-0.754122987169069,0.450775375562246,1,-0.455738094424722,0.20248312052777,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",10,"nlp20_10_vs_mock_10",298.670853350766,-0.0146456559613871,0.989899758384534,0.168097710854472,-0.087125850119793,0.930571478087014,1,-0.344117169236153,0.314825857313379,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",30,"nlp20_30_vs_mock_30",298.670853350766,-0.0897363322801411,0.939694472587479,0.155019962515646,-0.57886952637525,0.562677213681392,0.874311781205085,-0.393575458810808,0.214102794250525,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",90,"nlp20_90_vs_mock_90",298.670853350766,-0.302216982067224,0.811005170814202,0.171506781577698,-1.76212846679948,0.0780475946228771,0.161757948477067,-0.638370273959513,0.0339363098250653,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","nlp20",180,"nlp20_180_vs_mock_180",298.670853350766,-0.318502233800619,0.801901958088394,0.170641975801573,-1.86649405754058,0.0619722746893434,0.137895873295204,-0.652960506371703,0.0159560387704644,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",0,"OGs_0_vs_mock_0",298.670853350766,-0.109284891078248,0.927047462954624,0.167010863185341,-0.654357980037316,0.512881199576259,1,-0.436626182921515,0.218056400765019,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",5,"OGs_5_vs_mock_5",298.670853350766,-0.0719578913733491,0.951346043316228,0.154965686430609,-0.464347256678468,0.642398971774457,1,-0.375690636777343,0.231774854030645,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",10,"OGs_10_vs_mock_10",298.670853350766,0.0568129775893652,1.04016541691906,0.155639126801341,0.36503017433323,0.71508888222572,1,-0.248239710941263,0.361865666119994,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",30,"OGs_30_vs_mock_30",298.670853350766,-0.00855359555213909,0.994088640606895,0.154774886195679,-0.0552647510354162,0.955927543828994,0.984835894565248,-0.311912372495671,0.294805181391392,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",90,"OGs_90_vs_mock_90",298.670853350766,-0.283759543268703,0.821447601579885,0.171058709957956,-1.65884299804697,0.0971474333935377,0.222575201843751,-0.619034614786297,0.0515155282488909,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","OGs",180,"OGs_180_vs_mock_180",298.670853350766,-0.155213393188433,0.897999537356116,0.156564970341696,-0.991367308087412,0.321506257545584,0.579527734513367,-0.462080735058158,0.151653948681292,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","Pep1",0,"Pep1_0_vs_mock_0",298.670853350766,-0.126567233624227,0.916008420982521,0.16727471953285,-0.756642928337842,0.449263815331401,1,-0.454425683908614,0.20129121666016,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","Pep1",5,"Pep1_5_vs_mock_5",298.670853350766,-0.103843643226387,0.930550503679606,0.168209215947015,-0.617348119969226,0.537005133704928,1,-0.433533706482536,0.225846420029762,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","Pep1",10,"Pep1_10_vs_mock_10",298.670853350766,-0.170024811817957,0.88882739476679,0.156205762848364,-1.08846695997386,0.27638901481902,1,-0.476188107000751,0.136138483364837,FALSE
"AT2G23820","AT2G23820","Metal-dependent phosphohydrolase","Pep1",30,"Pep1_30_vs_mock_30",298.670853350766,-0.20553730883044,0.867215646320559,0.155890641391526,-1.31847112177969,0.187345986026343,0.46434983537982,-0.511082965957832,0.100008348296951,FALSE
